ETUNIMI;YHTEENSÄ
Ann-Mari;625
Michaela;624
Kati;620
Synnöve;619
Rebecca;616
Essi;615
Anna-Maija;614
Laila;614
Elin;612
Mervi;606
Inga;604
Tanja;601
Mailis;601
Armi;599
Miriam;591
Ireene;590
Fanni;580
Peppi;580
Elma;575
Aira;567
Minerva;565
Selma;561
Senja;557
Salme;556
Oili;555
Micaela;555
Eriika;552
Taru;537
Soile;536
Isla;535
Beata;535
Inger;535
Greta;529
Kukka-Maaria;529
Lucia;528
Saima;528
Sirkka-Liisa;527
Magdaleena;522
Sointu;522
Augusta;519
Sophie;519
Felicia;518
Terese;514
Eeva-Liisa;510
Auli;509
Natalie;507
Ann;507
Brita;506
Angelica;506
Aura;505
Hilla;504
Valentina;504
Sarita;503
Therese;503
Kukka;501
Marian;499
Leea;498
Terhi;492
Taika;490
Ottilia;490
Salla;490
Kaisla;488
Maiju;487
Gabriella;484
Annastiina;484
Josefin;482
Miina;478
Sophia;476
Catharina;476
Ahmed;473
Elmiina;473
Ellinoora;468
Helli;465
Maila;463
Lemmitty;462
Kristine;454
Veronika;454
Cristina;453
Silvia;452
Lilli;450
Kustaava;444
Eine;444
Laina;444
Ingegärd;443
Saana;442
Hanneli;440
Stiina;438
Nicole;436
Josefine;436
Aallotar;435
Antonia;434
Eira;432
Sabina;431
Sofi;431
Mariaana;430
Pilvi;429
Stina;428
Ulriikka;426
Sandra;424
Mariana;422
Julianna;421
Sohvi;419
Aina;418
Pinja;416
Mariel;414
Kiia;414
Alise;411
Iita;410
Jade;409
Signe;408
Vilja;408
Margaret;406
Emmiina;402
Merita;402
Bettina;401
Anne-Mari;400
Sigrid;400
Serafina;400
Helga;398
Hertta;398
Rose;397
Inga-Lill;396
Tuulevi;396
Catarina;396
Ava;391
Pihla;387
Heini;384
Aleksiina;383
Isabelle;382
Emelie;380
Hillervo;379
Jonna;378
Viveka;378
Janica;378
Agnes;377
Milena;377
Emilie;376
Marjanne;376
Diana;374
Claudia;374
Andrea;369
Else;368
Mielikki;368
Erin;368
Rosita;367
Elle;367
Liisi;366
Edla;364
Ainikki;364
Adelina;363
Helka;358
Jasmina;357
Lumikki;356
Petriina;354
Neea;354
Marikki;353
Marja-Terttu;352
Elna;352
Varpu;351
Ali;351
Lena;350
Nuppu;349
Jessika;348
Henriika;348
Michelle;346
Vera;345
Heljä;345
Angelina;344
Melinda;344
Nelli;342
Bertta;342
Ines;341
Nella;340
Anne-Marie;340
Gunvor;340
Alexsandra;334
Rauni;330
Abdi;329
Mary;328
Jeanette;326
Maj;325
Alicia;324
Adéle;321
Lisbeth;320
Ann-Marie;320
Maj-Lis;320
Ulriika;319
Ronja;319
Hellen;318
Salli;317
Nathalie;314
Rosanna;313
Erja;312
Susann;312
Armiida;311
Mariann;310
Kristin;309
Aamu;306
Tilda;306
Hildegard;303
Angelika;302
Valborg;301
Margetta;301
Angela;300
Mea;299
Nora;298
Eedit;296
Rebecka;296
Stella;295
Ramona;295
Soili;295
Eini;294
Impi;294
Desiree;290
Mai;288
Frida;286
Jenniina;286
Hedvig;285
Iisa;285
Aida;285
Lauriina;285
Hassan;284
Gunhild;284
Ruusu;283
Maj-Britt;283
Ilta;283
Tatjana;282
Eriikka;280
Elsi;279
Hellikki;278
Mirva;278
Katharina;278
Alissa;278
Teija;277
Ira;276
Hanne;274
Mona;274
Tea;273
Adelia;271
Henriette;271
Heta;269
Illusia;268
Hely;267
Jennifer;267
Mariela;267
Mimmi;266
Aniitta;266
Virve;266
Mette;264
Marit;262
Anne-Maria;261
Kielo;261
Annamari;261
Ilmi;261
Rita;261
Aija;258
Viveca;258
Emily;257
Ellinor;257
Fiona;257
Catherine;253
Mila;252
Karina;250
Petronella;249
Tamara;249
Larissa;249
Else-Maj;248
Marissa;247
Ragnhild;247
Anna-Leena;246
Valdine;246
Kerstin;246
Anna-Mari;245
Malviina;244
Anne-Maj;243
Saija;242
Pauline;241
Luna;241
Theresia;240
Suoma;239
Armida;239
Lilia;238
Caroliina;238
Klaudia;238
Marja-Riitta;236
Merituuli;236
Kreeta;236
Elea;236
May;236
Estelle;235
Ebba;234
Karelia;234
Ruth;234
Abdullahi;233
Tuovi;232
Alviina;232
Mirka;232
Theresa;232
Lumina;231
Gabriela;231
Emelia;230
Kia;230
Marietta;230
Isa;229
Josephine;229
Lenita;228
Margita;228
Sarianna;227
Adolfiina;227
Berit;224
Jane;223
Barbara;223
Desiré;223
Briitta;220
Salome;220
Eliisabet;219
Ida-Maria;219
Jannika;219
Annaliisa;219
Mariina;218
Adalmina;217
Livia;216
Pilvikki;216
Severiina;215
Odessa;214
Marica;213
Enna;213
Kamilla;212
Saaga;212
Ihanelma;212
Jelena;211
Hellä;211
My;209
Cassandra;209
Katrin;208
Ilmatar;207
Ann-Sofi;207
Carmen;206
Kreetta;206
Minja;204
Evelyn;204
Ingalill;203
Lina;203
Anna-Lisa;202
Milana;202
Hulda;201
Juuli;201
Lisbet;200
Saila;199
Wilma;198
Milka;198
Grace;197
Desirée;196
Christin;195
Gunnel;193
Netta;193
Ansa;193
Leona;192
Maya;192
Mari-Anne;192
Valma;192
Sarah;192
Pirjetta;189
Ina;189
Adina;188
Isabell;188
Marisa;187
Ulla-Maija;185
Jolanda;184
Eeva-Maria;183
Annabella;181
Ruut;181
Rosaliina;180
Alexia;180
Annie;179
Lillemor;178
Ann-Christine;178
Mercedes;178
Senni;177
Seliina;176
Bernice;175
Gertrud;174
Ann-Christin;173
Pernilla;173
Vadelma;173
Christel;172
Riia;172
Anastacia;172
Maisa;171
Estella;171
Siru;171
Sade;171
Unna;171
Doris;171
Jutta;170
Esther;170
Viliina;170
Evita;170
Sofianna;169
Ethel;169
Yasmin;168
Natasha;168
Tarleena;168
Svea;167
Verna;167
Matintytär;165
Marion;165
Barbro;164
Anitra;163
Ann-Charlotte;163
Filippa;162
Fiia;162
Iida-Maria;161
Britt;160
Annemari;160
Raisa;160
Titta;159
Viena;159
Sarianne;159
Annica;158
Jennika;158
Anna-Sofia;158
Meri-Tuuli;157
Ulrica;157
Maija-Leena;157
Esmeralda;156
Marie-Louise;156
Alva;155
Inna;154
Desire;154
Eufemia;154
Lila;154
Alessandra;153
Christa;153
Janniina;153
Markit;153
Janna;152
Valeria;151
Dolores;150
Virva;149
Tatjaana;149
Leonora;149
Gunborg;149
Simone;148
Eleanor;147
Nanna;147
Rose-Marie;146
Nelly;145
Antintytär;145
Britt-Marie;145
Ninni;145
Albertiina;145
Omar;145
Moona;145
Anna-Kaisa;144
Mohamud;144
Annamaria;144
Kaino;143
Hussein;142
Tia;141
Minnea;140
Alessia;140
Rosalia;139
Marjo-Riitta;138
Judith;138
Denise;138
Ellida;138
Katinka;137
Selena;137
Taija;137
Karola;137
Eivor;136
Ilse;136
Britta;136
Henni;135
Timontytär;135
Raakeli;134
Minni;134
Bella;134
Suvituuli;133
Tuire;131
Saini;130
Juhantytär;130
Meea;130
Sesilia;129
Sarlotta;129
Christiina;129
Sabrina;129
Kaneli;129
Nadja;129
Bettiina;129
Dorothea;128
Ann-Sofie;128
Juliet;128
Suometar;128
Marjetta;128
Mariette;127
Kastanja;127
Ingela;127
Riitta-Liisa;126
Lily;126
Virginia;126
Helén;126
Linn;126
Belinda;125
Kim;125
Lidia;125
Ibrahim;124
Elida;124
Ilma;124
Rea;123
Marttiina;123
Antoinette;123
Marinka;123
Lyydi;123
Martha;122
Åsa;122
Thuy;122
Mikontytär;122
Siri;122
Abdirahman;122
Ariel;122
Juliette;122
Nicola;122
Evelin;121
Marikka;121
Onneli;120
Antonina;120
Iréne;120
Pamela;119
Therése;119
Riika;119
Fredriika;119
Mariam;119
Melanie;119
Reija;119
Cesilia;119
Hanna-Maria;119
Maarita;118
Thu;118
Gunnevi;118
Elice;118
Irinja;117
Vilina;117
Fatima;116
Ann-Kristin;116
Suvi-Tuulia;116
Rachel;116
Katerina;116
Fransiina;115
Ruusa;115
