ETUNIMI;YHTEENSÄ
Gunnel;898
Leea;897
Juuli;890
Susan;888
Maija-Leena;879
Monika;877
Liisi;873
Gun;869
Hanna-Kaisa;866
Henriikka;863
Taika;861
Lina;860
Enna;858
Tessa;858
Tellervo;856
Mea;851
Astrid;847
Kira;847
Aulikki;838
Mimosa;836
Milka;835
Erin;828
Charlotta;825
Elle;824
Sarah;822
Janica;821
Saaga;816
Suoma;815
Erica;814
Riia;811
Nanna;806
Marjukka;804
Anne-Marie;803
Lilian;800
Gunvor;798
Mirjami;798
Margareta;792
Harriet;792
Diana;791
Nadja;785
Rebecca;785
Åsa;782
Neela;776
Maaret;769
Victoria;768
Annu;767
Ruth;760
Ansa;760
Jatta;754
Tatiana;747
Josefiina;747
Inna;742
Onerva;740
Mirella;739
Ingrid;737
Jasmine;729
Ruut;723
Nelly;720
Benita;720
Pipsa;718
Nita;717
Ebba;717
Janni;716
Rebekka;713
Doris;712
Mailis;709
Annamari;707
Orvokki;702
Piritta;697
Lyydia;695
Rea;693
Edith;689
Sohvi;687
Mimmi;686
Ilmi;682
Ann-Mari;682
Verna;682
Pirita;682
Impi;679
Aleksandra;677
Adele;670
Kaino;665
Elna;662
Isa;661
Britta;655
Vivian;654
Aida;649
Mirkka;641
Alice;631
Annette;625
Minka;622
Maj-Lis;615
Yvonne;613
Iita;613
Saini;610
Ann;604
Sarita;604
Matleena;603
Raakel;600
Iines;600
Ina;595
Pirjo-Riitta;594
Unna;591
Tove;591
Sofie;587
Regina;587
Sylvia;585
Jennifer;583
Ilse;583
Alva;581
Minni;574
Lila;570
Hanna-Maria;566
Marju;565
Selina;564
Anastasia;562
Malla;561
Fiona;560
Aamu;559
Ekaterina;558
Martina;557
Sabina;555
Meea;552
Isabel;549
Signe;545
Hellevi;545
Ava;538
Siri;534
Christa;534
Ritva-Liisa;533
Christel;529
Jasmiina;529
Henna-Riikka;529
Amalia;526
Elisabeth;526
Patricia;525
Ulrika;525
Inari;522
Eivor;521
Hillevi;520
Anne-Maarit;515
Carolina;514
Lilia;512
Pirjo-Liisa;512
Elviira;512
Ida-Maria;511
Ines;509
Tara;508
Luna;504
Lisbeth;504
Tatjana;499
Esteri;496
Helen;491
Eija-Liisa;490
Kielo;490
Ria;488
Jessika;487
Elisabet;486
Galina;484
Viena;482
Sirja;480
Sanna-Kaisa;478
Valentina;477
Maya;476
Amelia;472
Eeva-Maria;467
Eeva-Maija;466
Linn;465
Veronica;464
Natalie;464
Agneta;464
Milena;463
Siina;460
Tua;456
Sinna;455
Eve;453
Hellin;449
Märta;448
Maaria;448
Emily;446
Rakel;444
Soila;440
Sanna-Maria;440
Hellä;440
Felicia;439
Selja;436
Meiju;435
Sani;431
Mary;431
Claudia;425
Lydia;422
Anna-Sofia;420
Tamara;418
Charlotte;415
Anne-Maj;415
Lara;414
Vilhelmiina;413
Iida-Maria;410
Maili;410
Heleena;405
Elvira;403
Stiina;401
Agnes;398
Ellinoora;398
Svea;396
Evelina;395
Noomi;395
Nicole;394
Josefina;394
Christine;394
Teea;393
Miranda;392
Hannamari;391
Michelle;391
Lumia;391
Assi;390
Michaela;389
Jane;388
Gretel;387
Sofi;387
Julianna;387
Sarianna;386
Bea;381
Gun-Britt;381
Lili;379
Nathalie;378
Jeanette;376
Silva;376
Roosa-Maria;376
Bettina;372
Briitta;372
Melinda;371
Hanna-Maija;371
Annemari;371
Helmiina;371
Ulpu;370
Maj;370
Caroline;370
Emelie;368
Göta;362
Nuppu;362
Lily;361
Jannika;361
Jelena;361
Edit;361
Leena-Maija;360
Liinu;358
Nana;357
Larissa;355
Loviisa;355
Anelma;353
Ann-Marie;352
Tiia-Maria;351
Kirsi-Maria;351
Aina;347
Karla;347
Minna-Liisa;346
Fiia;346
Livia;345
Raija-Liisa;344
Pamela;344
Madeleine;343
Silvia;342
Aliina;342
Nenna;340
Jarna;339
Rut;334
Mirja-Liisa;331
Annastiina;330
Moa;330
Jasmina;328
Alissa;324
Pernilla;324
Lenita;324
Mandi;324
Karolina;323
Rebecka;323
Sophie;323
Kaarin;322
Miira;321
Ann-Christine;321
Hannah;319
Erna;319
Leeni;317
Merita;315
Gerd;315
Henrietta;313
Eedit;310
Maj-Len;309
Linnéa;309
Clara;308
Viktoria;307
Jenniina;305
Rosita;305
Veronika;305
Ramona;304
Helene;304
Vaula;302
Hulda;302
Eeva-Kaisa;300
Marit;300
Riika;300
Sophia;300
Andrea;299
Vivi;299
Mathilda;298
Mariitta;296
Maja;294
Amelie;293
Mari-Anne;292
Lisbet;290
Sanja;288
Beata;288
Amina;288
Mariia;287
Lidia;287
Hilppa;286
Alicia;284
Iitu;284
Salla-Mari;282
Eeva-Riitta;282
Hanna-Riikka;282
Arja-Liisa;281
Ursula;280
Rosanna;280
Beatrice;279
Sonia;278
Yasmin;278
Raita;278
Eeva-Leena;277
Ninja;277
Jessi;277
Kreetta;276
Annica;276
Milana;274
Thea;274
Kaija-Leena;272
Laimi;269
Anri;269
Susa;268
Mai;268
Louna;268
Hjördis;267
Miriam;266
Ilta;264
Carla;264
Elea;264
Anna-Riikka;262
Maija-Riitta;262
Britt-Marie;261
Sade;261
Ilma;261
Samira;260
Kajsa;259
Ann-Christin;256
Henrika;256
Else-Maj;255
Maikki;254
Viveka;253
Angelica;253
Arja-Leena;253
Anna-Riitta;252
Disa;251
Micaela;251
Jennie;251
Rosa-Maria;250
Ninna;249
Mariella;249
Paulina;249
Maini;246
Marlene;246
Karina;246
Jenina;243
Hanni;242
Susann;242
Sanelma;241
Tiiu;241
Etel;240
Anna-Lena;239
Bella;239
Margarita;239
Miila;239
My;238
Viveca;236
Eeva-Kaarina;236
Anna-Lisa;235
Josefin;235
Meri-Tuuli;234
Sirke;234
Suvi-Tuuli;233
Josefine;232
Justiina;232
Bianca;231
Nette;231
Arla;231
Sirpa-Liisa;231
Annakaisa;230
Riitta-Leena;230
Ylva;230
Anna-Kaarina;230
Mariam;230
